id,shortname,mktcap,lastvalue,change,percentchange,direction,stk_details,volume,url
APT02,Astral Poly Tec,"16,102.02","1,068.75",8.90,0.84,1,[],1.02k,http://www.moneycontrol.com/india/stockpricequote/plastics/astralpolytechnik/APT02
AID,AstraZeneca,"6,494.75","2,597.90",24.55,0.95,1,[],571,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/astrazenecapharma/AZP
A06,Atul,"12,561.74","4,235.00",-19.40,-0.46,-1,[],272,http://www.moneycontrol.com/india/stockpricequote/dyes-pigments/atul/A06
ASF03,AU Small Financ,"19,626.17",668.75,-5.35,-0.79,-1,[],1.39k,http://www.moneycontrol.com/india/stockpricequote/finance-general/ausmallfinancebank/ASF02
AP,Aurobindo Pharm,"26,414.11",450.80,-22.70,-4.79,-1,[],313.02k,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurobindopharma/AP
AF21,Avanti Feeds,"6,680.12",490.30,28.45,6.16,1,[],92.29k,http://www.moneycontrol.com/india/stockpricequote/aquaculture/avantifeeds/AF21
AS28,Avenue Supermar,"123,943.18","1,986.00",9.70,0.49,1,[],9.83k,http://www.moneycontrol.com/india/stockpricequote/retail/avenuesupermarts/AS19
UTI10,Axis Bank,"205,729.49",729.75,-7.85,-1.06,-1,[],70.07k,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/axisbank/AB16
BA06,Bajaj Auto,"93,668.10","3,237.00",-9.35,-0.29,-1,[],3.22k,http://www.moneycontrol.com/india/stockpricequote/auto-2-3-wheelers/bajajauto/BA10
BC14,Bajaj Consumer ,"3,700.90",250.85,-0.15,-0.06,-1,[],8.73k,http://www.moneycontrol.com/india/stockpricequote/personal-care/bajajconsumercare/BC02
BE,Bajaj Electric,"3,975.31",388.00,6.05,1.58,1,[],3.06k,http://www.moneycontrol.com/india/stockpricequote/domestic-appliances/bajajelectricals/BE
BAF,Bajaj Finance,"243,213.43","4,194.10",-35.70,-0.84,-1,[],35.61k,http://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/bajajfinance/BAF
BF04,Bajaj Finserv,"139,117.82","8,742.00",-101.55,-1.15,-1,[],3.22k,http://www.moneycontrol.com/india/stockpricequote/finance-investments/bajajfinserv/BF04
BA,Bajaj Holdings,"41,590.94","3,737.05",4.00,0.11,1,[],150,http://www.moneycontrol.com/india/stockpricequote/finance-investments/bajajholdingsinvestment/BHI
BI03,Balkrishna Ind,"16,818.60",870.00,13.10,1.53,1,[],8.70k,http://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03
BLC,Balmer Lawrie,"2,268.65",199.00,0.20,0.10,1,[],6.06k,http://www.moneycontrol.com/india/stockpricequote/diversified/balmerlawriecompany/BLC
BCM,Balrampur Chini,"3,506.80",159.40,1.00,0.63,1,[],57.86k,http://www.moneycontrol.com/india/stockpricequote/sugar/balrampurchinimills/BCM
BB09,Bandhan Bank,"68,598.29",574.95,-11.90,-2.03,-1,[],18.16k,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/bandhanbank/BB09
BOB,Bank of Baroda,"38,428.81",99.90,-1.95,-1.91,-1,[],614.19k,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/bankofbaroda/BOB
BOI,Bank of India,"22,692.69",69.25,-1.10,-1.56,-1,[],822.30k,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/bankofindia/BOI
BM05,Bank of Mah,"7,070.47",12.14,-0.45,-3.57,-1,[],50.93k,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/bankmaharashtra/BM05
BAS,BASF,"4,369.04","1,009.35",-0.75,-0.07,-1,[],589,http://www.moneycontrol.com/india/stockpricequote/chemicals/basfindia/BAS
BI01,Bata India,"22,138.23","1,722.45",18.00,1.06,1,[],13.65k,http://www.moneycontrol.com/india/stockpricequote/leather-products/bataindia/BI01
HSA01,Bayer CropScien,"16,511.72","3,674.00",7.65,0.21,1,[],10,http://www.moneycontrol.com/india/stockpricequote/pesticides-agro-chemicals/bayercropscience/BC12
BEM,BEML,"4,047.85",972.00,3.30,0.34,1,[],6.61k,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/beml/BEM03
BPI02,Berger Paints,"48,585.62",500.30,1.10,0.22,1,[],45.71k,http://www.moneycontrol.com/india/stockpricequote/paints-varnishes/bergerpaintsindia/BPI02
BDL01,Bharat Dynamics,"5,888.83",321.30,0.25,0.08,1,[],1.33k,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/bharatdynamicsltd/BDL01
BE03,Bharat Elec,"26,412.67",108.40,-4.10,-3.64,-1,[],260.81k,http://www.moneycontrol.com/india/stockpricequote/electricals/bharatelectronics/BE03
BFC,Bharat Forge,"21,212.22",455.60,-8.75,-1.88,-1,[],32.28k,http://www.moneycontrol.com/india/stockpricequote/castings-forgings/bharatforge/BF03
BTV,Bharti Airtel,"192,705.17",375.50,-8.75,-2.28,-1,[],106.12k,http://www.moneycontrol.com/india/stockpricequote/telecommunications-service/bhartiairtel/BA08
BI26,Bharti Infratel,"40,589.65",219.45,-2.65,-1.19,-1,[],82.99k,http://www.moneycontrol.com/india/stockpricequote/telecommunications-equipment/bhartiinfratel/BI14
BHE,BHEL,"19,429.91",55.80,-0.25,-0.45,-1,[],412.54k,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/bharatheavyelectricals/BHE
BL03,Biocon,"30,612.00",255.10,-0.75,-0.29,-1,[],99.07k,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/biocon/BL03
BC07,Birla Corp,"4,827.08",626.85,2.10,0.34,1,[],14.59k,http://www.moneycontrol.com/india/stockpricequote/cement-major/birlacorporation/BC07
BCP01,Bliss GVS,"1,479.12",143.40,-1.25,-0.86,-1,[],21.75k,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/blissgvspharma/BGV
BDE,Blue Dart,"5,457.42","2,300.00",-32.05,-1.37,-1,[],33,http://www.moneycontrol.com/india/stockpricequote/couriers/bluedartexpress/BDE
BS,Blue Star,"7,531.75",782.00,-7.55,-0.96,-1,[],498,http://www.moneycontrol.com/india/stockpricequote/consumer-goods-white-goods/bluestar/BS
BBT,Bombay Burmah,"8,234.48","1,180.20",-20.95,-1.74,-1,[],1.87k,http://www.moneycontrol.com/india/stockpricequote/plantations-tea-coffee/bombayburmahtradingcorporation/BBT
BDM,Bombay Dyeing,"1,719.40",83.25,0.10,0.12,1,[],91.87k,http://www.moneycontrol.com/india/stockpricequote/textiles-processing/bombaydyeingmanufacturingcompany/BDM
MIC,Bosch,"45,466.36","15,415.65",-265.60,-1.69,-1,[],650,http://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/bosch/B05
BPC,BPCL,"112,237.14",517.40,-0.05,-0.01,-1,[],40.81k,http://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC
BI,Britannia,"77,214.27","3,213.00",-15.80,-0.49,-1,[],2.12k,http://www.moneycontrol.com/india/stockpricequote/food-processing/britanniaindustries/BI
CHC,Cadila Health,"24,595.42",240.25,0.55,0.23,1,[],23.81k,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC
CFH,Can Fin Homes,"5,497.93",412.90,-4.05,-0.97,-1,[],6.53k,http://www.moneycontrol.com/india/stockpricequote/finance-housing/canfinhomes/CFH
CB06,Canara Bank,"15,317.23",203.35,-3.40,-1.64,-1,[],112.01k,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/canarabank/CB06
CPL,Caplin Labs,"2,945.53",389.40,1.85,0.48,1,[],453,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/caplinpointlaboratories/CPL
CU,Carborundum,"5,966.11",315.20,0.00,0,0,[],0,http://www.moneycontrol.com/india/stockpricequote/abrasives/carborundumuniversal/CU
CAR,CARE Ratings,"1,576.17",535.00,7.55,1.43,1,[],4.58k,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/careratings/CAR
CI01,Castrol,"14,970.37",151.35,0.80,0.53,1,[],17.82k,http://www.moneycontrol.com/india/stockpricequote/lubricants/castrolindia/CI01
CC10,CCL Products,"2,687.16",202.00,-2.95,-1.44,-1,[],123,http://www.moneycontrol.com/india/stockpricequote/plantations-tea-coffee/cclproductsindia/CC10
C07,Ceat,"4,057.35","1,003.05",-0.75,-0.07,-1,[],3.00k,http://www.moneycontrol.com/india/stockpricequote/tyres/ceat/C07
CBO01,Central Bank,"8,767.58",21.25,-0.95,-4.28,-1,[],50.27k,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/centralbankindia/CBO01
CF09,Centrum Capital,873.67,21.00,-0.55,-2.55,-1,[],2.98k,http://www.moneycontrol.com/india/stockpricequote/finance-general/centrumcapital/CF09
CTI,Century,"4,398.02",393.75,-0.45,-0.11,-1,[],11.06k,http://www.moneycontrol.com/india/stockpricequote/diversified/centurytextilesindustries/CTI
CP9,CenturyPlyboard,"3,705.85",166.80,1.30,0.79,1,[],17.91k,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/centuryplyboards/CP9
MOF,Cera Sanitary,"3,332.43","2,562.25",-54.95,-2.10,-1,[],34,http://www.moneycontrol.com/india/stockpricequote/ceramics-granite/cerasanitaryware/CS18
CGC01,CG Consumer,"15,745.20",251.10,2.10,0.84,1,[],918,http://www.moneycontrol.com/india/stockpricequote/electricals/cromptongreavesconsumerelectrical/CGC01
CG,CG Power ,"1,011.57",16.14,0.76,4.94,1,[],637.51k,http://www.moneycontrol.com/india/stockpricequote/electric-equipment/cgpowerindustrialsolutions/CG
CFC,Chambal Fert,"6,784.19",163.00,-1.25,-0.76,-1,[],2.81k,http://www.moneycontrol.com/india/stockpricequote/fertilisers/chambalfertiliserschemicals/CFC
MR,Chennai Petro,"2,323.02",156.00,-0.40,-0.26,-1,[],850,http://www.moneycontrol.com/india/stockpricequote/refineries/chennaipetroleumcorporation/CPC02
TII,Cholamandalam,"8,815.04",469.60,0.00,0,0,[],0,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/cholamandalamfinancialholdings/TII
CIF01,Cholamandalam,"23,299.00",298.00,-18.30,-5.79,-1,[],41.76k,http://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/cholamandalaminvestmentfinancecompany/CDB
C,Cipla,"38,370.68",476.00,8.40,1.80,1,[],155.72k,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cipla/C
CUB,City Union Bank,"15,146.73",206.00,-0.95,-0.46,-1,[],2.08k,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/cityunionbank/CUB
CI29,Coal India,"131,543.44",213.45,2.45,1.16,1,[],85.64k,http://www.moneycontrol.com/india/stockpricequote/mining-minerals/coalindia/CI11
CS17,Cochin Shipyard,"5,269.51",400.60,-4.75,-1.17,-1,[],2.20k,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/cochinshipyard/CS
CDE,Coffee Day,786.91,37.25,1.75,4.93,1,[],15.48k,http://www.moneycontrol.com/india/stockpricequote/food-processing/coffeedayenterprises/CDE
CPI,Colgate,"42,055.78","1,546.25",23.55,1.55,1,[],11.88k,http://www.moneycontrol.com/india/stockpricequote/personal-care/colgatepalmoliveindia/CPI
CCI,Container Corp,"35,138.01",576.70,0.05,0.01,1,[],8.27k,http://www.moneycontrol.com/india/stockpricequote/transport-logistics/containercorporationindia/CCI
CF06,Coromandel Int,"13,621.59",465.60,5.40,1.17,1,[],79,http://www.moneycontrol.com/india/stockpricequote/fertilisers/coromandelinternational/CI45
CB,Corporation Bk,"10,429.88",17.40,0.15,0.87,1,[],15.35k,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/corporationbank/CB
CG02,CreditAccess Gr,"10,084.17",701.20,1.80,0.26,1,[],3.04k,http://www.moneycontrol.com/india/stockpricequote/finance-term-lending-institutions/creditaccessgrameen/CG03
CRI,CRISIL,"10,804.54","1,494.40",-6.80,-0.45,-1,[],95,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/crisil/CRI
CI02,Cummins,"15,067.21",543.55,-2.70,-0.49,-1,[],2.61k,http://www.moneycontrol.com/india/stockpricequote/engines/cumminsindia/CI02
IE07,Cyient,"4,307.65",387.50,-13.25,-3.31,-1,[],7.24k,http://www.moneycontrol.com/india/stockpricequote/computers-software/cyient/IE07
DI,Dabur India,"85,296.17",482.70,1.20,0.25,1,[],65.37k,http://www.moneycontrol.com/india/stockpricequote/personal-care/daburindia/DI
C13,DB Corp,"2,530.55",144.65,-1.40,-0.96,-1,[],544,http://www.moneycontrol.com/india/stockpricequote/media-entertainment/dbcorp/C13
DCB01,DCB Bank,"5,706.91",184.00,1.25,0.68,1,[],15.82k,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/dcbbank/DCB01
DCM02,DCM Shriram,"5,707.49",366.00,4.00,1.10,1,[],984,http://www.moneycontrol.com/india/stockpricequote/diversified/dcmshriram/DCM02
DFP,Deepak Fert,964.72,108.05,-3.55,-3.18,-1,[],8.50k,http://www.moneycontrol.com/india/stockpricequote/fertilisers/deepakfertilizerspetrochemicalscoprn/DFP
DN,Deepak Nitrite,"4,837.18",354.65,-5.45,-1.51,-1,[],50.60k,http://www.moneycontrol.com/india/stockpricequote/chemicals/deepaknitrite/DN
AW,Delta Corp,"5,330.71",196.75,2.60,1.34,1,[],95.90k,http://www.moneycontrol.com/india/stockpricequote/construction-contracting-real-estate/deltacorp/DC11
DHF,Dewan Housing,663.74,21.15,1.00,4.96,1,[],13.98k,http://www.moneycontrol.com/india/stockpricequote/finance-housing/dewanhousingfinancecorporation/DHF
DP04,Dhanuka Agritec,"1,460.89",307.05,0.00,0,0,[],0,http://www.moneycontrol.com/india/stockpricequote/pesticides-agro-chemicals/dhanukaagritech/DA01
DB03,Dilip Buildcon,"5,881.10",430.00,4.90,1.15,1,[],14.84k,http://www.moneycontrol.com/india/stockpricequote/construction-contracting-civil/dilipbuildcon/DB04
DTV,Dish TV,"2,699.33",14.66,0.16,1.10,1,[],2.39m,http://www.moneycontrol.com/india/stockpricequote/media-entertainment/dishtvindia/DTV
DCA,Dishman Carboge,"1,969.01",122.00,-0.50,-0.41,-1,[],24.43k,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/dishmancarbogenamcis/DCA
DL03,Divis Labs,"44,351.84","1,670.70",-16.50,-0.98,-1,[],14.14k,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/divislaboratories/DL03
D04,DLF,"46,399.72",187.45,3.35,1.82,1,[],395.90k,http://www.moneycontrol.com/india/stockpricequote/construction-contracting-real-estate/dlf/D04
DLP01,Dr Lal PathLab,"12,484.57","1,498.00",32.00,2.18,1,[],3.52k,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drlalpathlabs/DLP01
DRL,Dr Reddys Labs,"47,358.18","2,850.40",35.05,1.24,1,[],14.69k,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL
ES07,eClerx Services,"1,597.68",432.00,-10.45,-2.36,-1,[],779,http://www.moneycontrol.com/india/stockpricequote/computers-software-medium-small/eclerxservices/eS06
EC06,Edelweiss,"9,147.04",97.95,2.15,2.24,1,[],39.07k,http://www.moneycontrol.com/india/stockpricequote/finance-general/edelweissfinancialservices/EC01
EM,Eicher Motors,"57,815.05","21,185.65",-93.85,-0.44,-1,[],829,http://www.moneycontrol.com/india/stockpricequote/auto-lcvs-hcvs/eichermotors/EM
EID,EID Parry,"3,004.49",169.75,4.10,2.48,1,[],10.32k,http://www.moneycontrol.com/india/stockpricequote/sugar/eidparryindia/EID
EIH,EIH,"8,927.91",156.20,-4.75,-2.95,-1,[],839,http://www.moneycontrol.com/india/stockpricequote/hotels/eih/EIH
EE01,Elgi Equipments,"4,337.69",273.75,-3.65,-1.32,-1,[],201,http://www.moneycontrol.com/india/stockpricequote/compressors/elgiequipments/EE01
E05,Emami,"14,764.24",325.25,-2.60,-0.79,-1,[],1.74k,http://www.moneycontrol.com/india/stockpricequote/personal-care/emami/E06
ET04,Endurance Techn,"15,558.72","1,106.10",2.55,0.23,1,[],28,http://www.moneycontrol.com/india/stockpricequote/auto-2-3-wheelers/endurancetechnologies/ET01
EI14,EngineersInd,"7,330.17",116.00,0.75,0.65,1,[],12.70k,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/engineersindia/EI14
EH03,Equitas Holding,"3,383.44",99.00,0.45,0.46,1,[],80.59k,http://www.moneycontrol.com/india/stockpricequote/finance-general/equitasholdings/EH03
EL01,Eris Life,"5,695.38",414.15,1.95,0.47,1,[],73,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/erislifesciences/EL01
E,Escorts,"8,019.59",654.25,2.00,0.31,1,[],25.91k,http://www.moneycontrol.com/india/stockpricequote/auto-tractors/escorts/E
EP,Essel Propack,"3,579.85",113.50,-1.90,-1.65,-1,[],151,http://www.moneycontrol.com/india/stockpricequote/packaging/esselpropack/EP11
EII02,Eveready Ind,393.24,54.10,-1.05,-1.90,-1,[],4.77k,http://www.moneycontrol.com/india/stockpricequote/dry-cells/evereadyindustriesindia/EII02
EI,Exide Ind,"16,201.00",190.60,1.85,0.98,1,[],34.87k,http://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/exideindustries/EI
FDC,FDC,"3,030.50",177.25,1.95,1.11,1,[],1.05k,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/fdc/FDC
FB,Federal Bank,"16,629.98",83.55,-0.85,-1.01,-1,[],245.46k,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB
FOI,Fine Organics,"5,915.84","1,929.50",26.75,1.41,1,[],180,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/fineorganicsindustries/FOI
FC01,Finolex Cables,"5,808.64",379.80,-4.45,-1.16,-1,[],105,http://www.moneycontrol.com/india/stockpricequote/cables-telephone/finolexcables/FC01
FI,Finolex Ind,"7,195.05",579.80,-5.30,-0.91,-1,[],790,http://www.moneycontrol.com/india/stockpricequote/petrochemicals/finolexindustries/FI
FS07,Firstsource Sol,"3,320.43",47.90,-1.25,-2.54,-1,[],65.68k,http://www.moneycontrol.com/india/stockpricequote/computers-software-medium-small/firstsourcesolutions/FS07
BT,Force Motors,"1,483.65","1,126.00",-19.55,-1.71,-1,[],1.96k,http://www.moneycontrol.com/india/stockpricequote/auto-lcvs-hcvs/forcemotors/FM01
FH,Fortis Health,"10,822.33",143.35,-1.80,-1.24,-1,[],25.56k,http://www.moneycontrol.com/india/stockpricequote/hospitals-medical-services/fortishealthcare/FH
FVI,Future Consumer,"5,110.01",26.60,-0.10,-0.37,-1,[],17.81k,http://www.moneycontrol.com/india/stockpricequote/food-processing/futureconsumer/FVI
FLF01,Future Life,"8,122.75",403.55,4.40,1.10,1,[],24,http://www.moneycontrol.com/india/stockpricequote/retail/futurelifestylefashions/FLF01
FR,Future Retail,"18,802.21",374.10,-0.90,-0.24,-1,[],5.54k,http://www.moneycontrol.com/india/stockpricequote/retail/futureretail/FR
GAI,GAIL,"61,998.43",136.30,-1.10,-0.80,-1,[],66.12k,http://www.moneycontrol.com/india/stockpricequote/oil-drilling-and-exploration/gailindia/GAI
GSL06,Galaxy Surfacta,"5,222.48","1,473.00",-4.40,-0.30,-1,[],181,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/galaxysurfactantsltd/GSL06
GD01,Gateway Distri,983.99,90.50,0.15,0.17,1,[],854,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/gatewaydistriparks/GD01
GP10,Gayatri Project,"2,090.07",111.65,-2.70,-2.36,-1,[],60,http://www.moneycontrol.com/india/stockpricequote/construction-contracting-civil/gayatriprojects/GP10
ABB01,GE Power India,"4,688.78",697.45,-14.20,-2.00,-1,[],106,http://www.moneycontrol.com/india/stockpricequote/power-transmission-equipment/gepowerindia/AP29
GES,GE Shipping,"4,349.62",292.50,0.50,0.17,1,[],680,http://www.moneycontrol.com/india/stockpricequote/shipping/greateasternshippingcompany/GES
GEC,GE T&D India,"4,437.29",173.30,-20.60,-10.62,-1,[],8.63k,http://www.moneycontrol.com/india/stockpricequote/power-transmission-equipment/getdindia/ATD
GIC12,General Insuran,"50,000.40",285.00,4.80,1.71,1,[],14.85k,http://www.moneycontrol.com/india/stockpricequote/diversified/generalinsurancecorporationindia/GIC12
GIC,GIC Housing Fin,883.43,164.05,1.00,0.61,1,[],7.28k,http://www.moneycontrol.com/india/stockpricequote/finance-housing/gichousingfinance/GIC
ISP,Gillette India,"24,863.99","7,630.45",-267.25,-3.38,-1,[],373,http://www.moneycontrol.com/india/stockpricequote/personal-care/gilletteindia/GI22
SB,GlaxoSmith Con,"38,708.13","9,204.05",-15.45,-0.17,-1,[],15,http://www.moneycontrol.com/india/stockpricequote/food-processing/glaxosmithklineconsumerhealthcare/GSC04
GI,GlaxoSmithKline,"27,232.02","1,607.50",-11.75,-0.73,-1,[],1.33k,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glaxosmithklinepharmaceuticals/GSK
GP08,Glenmark,"8,696.42",308.20,-9.00,-2.84,-1,[],68.82k,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glenmarkpharma/GP08
GI27,GMR Infra,"12,464.23",20.65,0.05,0.24,1,[],389.03k,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/gmrinfrastructure/GI27
GNV,GNFC,"3,186.09",205.00,-6.45,-3.05,-1,[],30.89k,http://www.moneycontrol.com/india/stockpricequote/fertilisers/gujaratnarmadavalleyfertilizerschemicals/GNV
GPI,Godfrey Phillip,"5,771.33","1,110.00",9.25,0.84,1,[],4.25k,http://www.moneycontrol.com/india/stockpricequote/cigarettes/godfreyphillipsindia/GPI
GA08,Godrej Agrovet,"9,425.42",490.80,-9.90,-1.98,-1,[],1.72k,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/godrejagrovet/GA03
GCP,Godrej Consumer,"75,313.61",736.70,14.80,2.05,1,[],22.90k,http://www.moneycontrol.com/india/stockpricequote/personal-care/godrejconsumerproducts/GCP
GS,Godrej Ind,"14,299.81",425.00,3.35,0.79,1,[],2.46k,http://www.moneycontrol.com/india/stockpricequote/personal-care/godrejindustries/GI23
GP11,Godrej Prop,"24,777.68",983.15,28.35,2.97,1,[],13.75k,http://www.moneycontrol.com/india/stockpricequote/construction-contracting-real-estate/godrejproperties/GP11
GI22,Granules India,"3,075.06",119.60,-0.25,-0.21,-1,[],11.73k,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/granulesindia/GI25
GI13,Graphite India,"5,803.63",297.05,1.65,0.56,1,[],53.93k,http://www.moneycontrol.com/india/stockpricequote/electrodes-graphite/graphiteindia/GI13
GI01,Grasim,"50,410.42",766.35,-1.90,-0.25,-1,[],14.89k,http://www.moneycontrol.com/india/stockpricequote/diversified/grasimindustries/GI01
G,Greaves Cotton,"3,216.20",131.70,-4.65,-3.41,-1,[],7.08k,http://www.moneycontrol.com/india/stockpricequote/engines/greavescotton/GC20
GN,Grindwell Norto,"6,573.45",593.70,-9.75,-1.62,-1,[],22,http://www.moneycontrol.com/india/stockpricequote/abrasives/grindwellnorton/GN
GRU,GRUH Finance,"23,291.87",317.30,0.00,0,0,[],0,http://www.moneycontrol.com/india/stockpricequote/finance-housing/gruhfinance/GRU
GSF,GSFC,"3,118.09",78.25,-1.15,-1.45,-1,[],9.81k,http://www.moneycontrol.com/india/stockpricequote/fertilisers/gujaratstatefertilizerschemicals/GSF
GAC01,Guj Alkali,"3,407.47",464.00,-0.75,-0.16,-1,[],319,http://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratalkalieschemicals/GAC01
GHC,Guj Heavy Chem,"2,091.94",213.00,2.70,1.28,1,[],6.44k,http://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratheavychemicals/GHC
GMD,Guj Mineral,"2,003.40",63.00,-0.15,-0.24,-1,[],5.44k,http://www.moneycontrol.com/india/stockpricequote/mining-minerals/gujaratmineraldevelopmentcorporation/GMD
GSP02,Guj State Petro,"12,112.99",214.75,-6.45,-2.92,-1,[],2.93k,http://www.moneycontrol.com/india/stockpricequote/oil-drilling-and-exploration/gujaratstatepetronet/GSP02
GGC,Gujarat Gas,"13,760.92",199.90,-5.45,-2.65,-1,[],173.80k,http://www.moneycontrol.com/india/stockpricequote/oil-drilling-and-exploration/gujaratgas/GGC
GPP03,Gujarat Pipavav,"4,268.77",88.30,-0.60,-0.67,-1,[],1.71k,http://www.moneycontrol.com/india/stockpricequote/shipping/gujaratpipavavport/GPP03
GOL01,Gulf Oil Lubric,"4,342.32",867.00,-5.00,-0.57,-1,[],2,http://www.moneycontrol.com/india/stockpricequote/lubricants/gulfoillubricantsindia/GOL01
HCD,Hathway Cable,"3,805.72",21.50,-0.20,-0.92,-1,[],6.25k,http://www.moneycontrol.com/india/stockpricequote/media-entertainment/hathwaycabledatacom/HCD
HAP,Hatsun Agro,"9,830.07",608.00,4.55,0.75,1,[],45,http://www.moneycontrol.com/india/stockpricequote/food-processing/hatsunagroproducts/HAP
HI01,Havells India,"42,276.11",675.55,-11.00,-1.60,-1,[],6.72k,http://www.moneycontrol.com/india/stockpricequote/electric-equipment/havellsindia/HI01
HCL02,HCL Tech,"155,016.78","1,142.70",-15.55,-1.34,-1,[],8.23k,http://www.moneycontrol.com/india/stockpricequote/computers-software/hcltechnologies/HCL02
HDF,HDFC,"373,518.69","2,163.20",-18.20,-0.83,-1,[],46.93k,http://www.moneycontrol.com/india/stockpricequote/finance-housing/housingdevelopmentfinancecorporation/HDF
HAM02,HDFC AMC,"63,087.71","2,967.30",-36.00,-1.20,-1,[],10.36k,http://www.moneycontrol.com/india/stockpricequote/finance-investments/hdfcassetmanagementcompany/HAM02
HDF01,HDFC Bank,"673,560.45","1,231.20",-8.20,-0.66,-1,[],38.23k,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/hdfcbank/HDF01
HSL01,HDFC Life,"118,114.52",585.40,1.90,0.33,1,[],90.66k,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/hdfclifeinsurancecompanylimited/HSL01
HEG,HEG,"3,946.39","1,022.50",10.20,1.01,1,[],10.42k,http://www.moneycontrol.com/india/stockpricequote/electrodes-graphite/heg/HEG
MC14,Heidelberg Cem,"4,518.67",199.40,2.50,1.27,1,[],19.67k,http://www.moneycontrol.com/india/stockpricequote/cement-major/heidelbergcementindia/HCI02
HFI,Heritage Foods,"1,571.73",338.75,1.25,0.37,1,[],129,http://www.moneycontrol.com/india/stockpricequote/food-processing/heritagefoods/HFI
HHM,Hero Motocorp,"53,122.12","2,659.60",-4.10,-0.15,-1,[],8.31k,http://www.moneycontrol.com/india/stockpricequote/auto-2-3-wheelers/heromotocorp/HHM
A,Hexaware Tech,"10,128.12",339.45,-0.50,-0.15,-1,[],68.50k,http://www.moneycontrol.com/india/stockpricequote/computers-software/hexawaretechnologies/HT02
HFC,HFCL,"2,221.97",17.30,-0.10,-0.57,-1,[],31.39k,http://www.moneycontrol.com/india/stockpricequote/telecommunications-equipment/hfcl/HFC
HCI01,Himadri Special,"3,090.03",73.80,-0.40,-0.54,-1,[],10.87k,http://www.moneycontrol.com/india/stockpricequote/chemicals/himadrispecialitychemical/HCI01
HS,Himatsingka Sei,"1,465.04",148.80,1.80,1.22,1,[],840,http://www.moneycontrol.com/india/stockpricequote/textiles-synthetic-silk/himatsingkaseide/HS
HC07,Hind Copper,"3,811.90",41.20,-0.90,-2.14,-1,[],42.17k,http://www.moneycontrol.com/india/stockpricequote/metals-non-ferrous/hindustancopper/HC07
HZ,Hind Zinc,"87,485.23",207.05,0.10,0.05,1,[],18.78k,http://www.moneycontrol.com/india/stockpricequote/metals-non-ferrous/hindustanzinc/HZ
