id,shortname,mktcap,lastvalue,change,percentchange,direction,stk_details,volume,url
CI02,Cummins,"15,067.21",543.55,-2.70,-0.49,-1,[],2.61k,http://www.moneycontrol.com/india/stockpricequote/engines/cumminsindia/CI02
DI,Dabur India,"85,296.17",482.70,1.20,0.25,1,[],65.37k,http://www.moneycontrol.com/india/stockpricequote/personal-care/daburindia/DI
DL03,Divis Labs,"44,351.84","1,670.70",-16.50,-0.98,-1,[],14.14k,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/divislaboratories/DL03
D04,DLF,"46,399.72",187.45,3.35,1.82,1,[],395.90k,http://www.moneycontrol.com/india/stockpricequote/construction-contracting-real-estate/dlf/D04
DRL,Dr Reddys Labs,"47,358.18","2,850.40",35.05,1.24,1,[],14.69k,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL
EM,Eicher Motors,"57,815.05","21,185.65",-93.85,-0.44,-1,[],829,http://www.moneycontrol.com/india/stockpricequote/auto-lcvs-hcvs/eichermotors/EM
EI,Exide Ind,"16,201.00",190.60,1.85,0.98,1,[],34.87k,http://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/exideindustries/EI
GAI,GAIL,"61,998.43",136.30,-1.10,-0.80,-1,[],66.12k,http://www.moneycontrol.com/india/stockpricequote/oil-drilling-and-exploration/gailindia/GAI
GP08,Glenmark,"8,696.42",308.20,-9.00,-2.84,-1,[],68.82k,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glenmarkpharma/GP08
GCP,Godrej Consumer,"75,313.61",736.70,14.80,2.05,1,[],22.90k,http://www.moneycontrol.com/india/stockpricequote/personal-care/godrejconsumerproducts/GCP
GI01,Grasim,"50,410.42",766.35,-1.90,-0.25,-1,[],14.89k,http://www.moneycontrol.com/india/stockpricequote/diversified/grasimindustries/GI01
HI01,Havells India,"42,276.11",675.55,-11.00,-1.60,-1,[],6.72k,http://www.moneycontrol.com/india/stockpricequote/electric-equipment/havellsindia/HI01
HCL02,HCL Tech,"155,016.78","1,142.70",-15.55,-1.34,-1,[],8.23k,http://www.moneycontrol.com/india/stockpricequote/computers-software/hcltechnologies/HCL02
HDF,HDFC,"373,518.69","2,163.20",-18.20,-0.83,-1,[],46.93k,http://www.moneycontrol.com/india/stockpricequote/finance-housing/housingdevelopmentfinancecorporation/HDF
HDF01,HDFC Bank,"673,560.45","1,231.20",-8.20,-0.66,-1,[],38.23k,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/hdfcbank/HDF01
HHM,Hero Motocorp,"53,122.12","2,659.60",-4.10,-0.15,-1,[],8.31k,http://www.moneycontrol.com/india/stockpricequote/auto-2-3-wheelers/heromotocorp/HHM
H,Hindalco,"44,594.32",198.55,-0.05,-0.03,-1,[],128.05k,http://www.moneycontrol.com/india/stockpricequote/aluminium/hindalcoindustries/HI
HPC,HPCL,"47,314.69",310.50,-1.90,-0.61,-1,[],48.62k,http://www.moneycontrol.com/india/stockpricequote/refineries/hindustanpetroleumcorporation/HPC
HL,HUL,"469,244.66","2,167.60",-4.55,-0.21,-1,[],5.92k,http://www.moneycontrol.com/india/stockpricequote/personal-care/hindustanunilever/HU
ICI02,ICICI Bank,"301,407.93",466.55,-1.70,-0.36,-1,[],129.32k,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/icicibank/ICI02
IDF01,IDFC First Bank,"20,207.19",42.25,-0.80,-1.86,-1,[],411.11k,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/idfcfirstbank/IDF01
